품목,시도,시군구,k2,적정온도,경고임계,위험임계,결실개시년,경제수명년,현재재배면적_ha,현재단수_kg_ha,현재단가_원kg,시나리오,중심연도,생육기기온,편차,판정,저온요구도
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2028,21.82,2.12,위험,1032
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2038,22.33,2.63,위험,988
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2048,22.78,3.08,위험,947
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2058,23.21,3.51,위험,912
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2068,23.54,3.84,위험,884
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp245,2078,23.91,4.21,위험,838
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2028,22.05,2.35,위험,1034
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2038,22.7,3.0,위험,962
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2048,23.44,3.74,위험,881
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2058,24.27,4.57,위험,803
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2068,25.11,5.41,위험,691
밤,경남,진주시,진주,19.7,1.3,2.0,5,30,161.8,2744.0,2089.0,ssp585,2078,25.94,6.24,위험,607
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,관측,2005,20.03,0.33,경고,1190
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2028,21.71,2.01,위험,1024
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2038,22.16,2.46,위험,982
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2048,22.58,2.88,위험,943
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2058,22.97,3.27,위험,908
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2068,23.26,3.56,위험,879
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp245,2078,23.6,3.9,위험,837
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2028,21.89,2.19,위험,1023
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2038,22.49,2.79,위험,951
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2048,23.16,3.46,위험,875
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2058,23.9,4.2,위험,800
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2068,24.69,4.99,위험,694
밤,경북,구미시,구미,19.7,1.3,2.0,5,30,3.9,1258.0,3071.0,ssp585,2078,25.48,5.78,위험,606
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,관측,2005,20.31,0.61,경고,1184
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2028,22.5,2.8,위험,988
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2038,23.1,3.4,위험,940
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2048,23.62,3.92,위험,892
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2058,24.15,4.45,위험,851
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2068,24.54,4.84,위험,821
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp245,2078,24.99,5.29,위험,772
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2028,22.71,3.01,위험,995
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2038,23.53,3.83,위험,912
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2048,24.43,4.73,위험,823
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2058,25.42,5.72,위험,734
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2068,26.41,6.71,위험,609
밤,경남,밀양시,밀양,19.7,1.3,2.0,5,30,61.8,1868.0,2586.0,ssp585,2078,27.37,7.67,위험,529
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,관측,2005,18.97,-0.73,적합,1644
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2028,20.78,1.08,경고,1456
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2038,21.23,1.53,주의,1411
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2048,21.67,1.97,주의,1367
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2058,22.09,2.39,위험,1327
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2068,22.4,2.7,위험,1292
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp245,2078,22.77,3.07,위험,1247
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2028,20.93,1.23,경고,1460
